Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
oldaini	to perfect	verb		
oldainiat	perfecter			
oldainan	perfection	noun		noun
oldainanait	perfectionism			
oldainanaun	perfectionist		derivation / compound	oldainan + -aun, “perfection-agentive suffix”, cf. gwelaun, alaun
oled	space			
oledi	to space	verb		
olediat	spacer			
olgni	know-it-all	noun		noun and adjective
olin	elbow			
olsam	ultimate			Chartres 2012
olsamas	ultimateness			
oltot	everyone			
olbiwit	for ever		derivation / compound	ol + biwit, “all-life”
olbitu	universe		derivation / compound	ol + bitu, “all-world”
olbitunac	universal			
olbitunacas	universality			
om	raw			
omac	rough			
dwomac	harsh			
omacas	roughness			
dwomacas	harshness			
omas	rawness			
omul	cruel			
omulas	cruelty			
on	one			
onac	alone			
onacas	aloneness			
dwonac	lonely			
dwonacas	loneliness			
escanal	only		derivation / compound	escan + al, “without-other”
onid	solitary		derivation / compound	on + -id, “one-like”
onidas	solitude			
onran	single		derivation / compound	on + ran, “one-part”
onranacas	singularity			
onranac	singular			
onan	solo	noun		noun
onanac	solo	adjective		adjective
oni	to solo	verb		
oniat	soloist			
onon	ash tree			
onuvia	to quench	verb	derivation / compound	onu + bia, “thirst-cut”, attested “onobiia”, DLG 2003. p. 242
onuviat	quencher			
onuvian	quenching	noun		noun
onu	thirst			
op	eye			
opol	maple tree			
orc	piglet			
ord	hammer			
or	hour			loanword, < L./Gr. hora
ordai	early		derivation / compound	or + dai, “hour-good”, cf. Fr. de bonne heure, id.
ordaias	earliness			
ordi	to hammer	verb		
ordiat	hammerer			
orge	to murder	verb		
orgen	murder			
orget	murderer			
oris	donator			< eurises, DLG 2003, p. 169, 189
orisan	donation			
orisa	to donate	verb		
ortu	calf			by extension any baby animal
ortwi	to calve	verb		
ortwiat	calver			
ortwian	calving	noun		noun
orv	heir			
orvan	inheritance			
orvi	to inherit	verb		
diorvi	to disinherit	verb		
tarodi	to bequeath	verb	derivation / compound	tar + rodi, “through/by-give”, -rr- > -r-; cf. W. cymynnu, cymynroddi, id.
tarodan	bequest			
tarodiat	bequeather			
ovon	fear			cf. W. ofn, id.
ovonac	scary			
ovoni	to fear	verb		
ovonaiat	coward			“fearer”
ovrin	fountain			
osbu	knot			
osbunac	knotty			
osbunacas	knottiness			
osbuni	to knot	verb		
osbuniat	knotter			
osbunan	knotting	noun		noun
panta	to hurt	verb	derivation / compound	to feel pain; pantu + i
pantaiat	hurter			
pantan	hurting	noun		noun
pantavan	torture			
pantaviat	torturer			
pantavo	to torture	verb	derivation / compound	pant(u) + avo, “pain-do”
pantu	pain			
pantumar	painful		derivation / compound	pantu + mar, “pain-big”
pap	every			
papet	everything			
dol cac	toilet paper			
dol nowias	newspaper			
par	cauldron			
paral	kettle			
paru	pot			
paru popan	cooking pot			
pec	audacious			
pecas	audacity			
petcacu	rubbish		derivation / compound	pet + cacu, “thing-shit”
pelu	sense			
pelunac	sensible			
pelunacas	sensibility			
peli	to mean	verb		
pelan	meaning			
peliat	meaner			“signifier”
pel	far			
andepel	remote		derivation / compound	ande + pel, “very-far”
andepelas	remoteness			
pelgen	foreigner			“far-born”, < pel-gn- < pelignos, assimilation of atonic vowel schwa inside of cluster –gn- to vowel of previous syllable; cf. gavar, durun, duvur, etc.; reduction of peli- to pel, root form “far”
pelgenac	foreign			
pelgenacas	foreigness			
pen	head			
pengalv	fathead			
penac	main			
penardu	proud			
penardunas	pride			
peri	why		derivation / compound	pe + ri, “what-for”, cf. MW. perac, Br. perag
petis	to save	verb		
petisan	savings	noun		noun
petisiat	saver			
petardegwet	fourteenth			< petrudecametos, DLG 2003, p. 250; epenthetic /a/, cf. etan < etno, DLG 2003, p. 434
-degwet	ending of ordinals ending in -dec	affix		
petarot	four wheeled cart			< petru-rot < Latinised petorritum, DLG 2003, p. 250; epenthetic /a/, cf. etan < etno, DLG 2003, p. 434
petarot	carriage			with four wheels
petwaru	fourth			
pimdec	fifteen			
pimdul	potentilla reptans			plant
pimp	five			
pimpet	fifth			
pecaman	how		derivation / compound	pe + caman, “what way”
ponc	when			
popan	cookery			
popi	to cook	verb		
popiat	cook			
prenagran	fruit tree			
pren	tree			
prengwen	family tree			
prenal	bush			
prenal	small shrub			
prin	to buy	verb		< prino, Reze, Lambert & Stifter 2012; cf. Ir. crenaid “buys” < *kwren-
prinu	purchase			
priniat	buyer			
prit	poet			
priti	to compose poetry	verb		
pritan	poetry			
pritu	price			
pritwi	to price	verb		
pritwiat	pricer			
pritwian	pricing			
rai	front			
raini	to front	verb		
rainiat	fronter			
rainan	fronting	noun		noun
raimon	throat		derivation / compound	rai + mon, “front-neck”
raitol	facade			
ranu	division			-randa, DLG 2003, p. 164
ranwiat	divider			
ranwi	to divide	verb		
ran	part			
ranbroi	region		derivation / compound	ran + broi, “part-country”
rani	to part	verb		
raniat	parter			
ranan	partition			
ranbroiac	regional			
ratin	fern			< Ratinus, DLG 2003, p. 254; cf. W. rhedyn, OC. reden, Br. raden, id.
ratinac	ferny			
ratinar	fernery			
rat	wall			
rati	to wall	verb		
ratiat	waller			
ratan	walling	noun		noun
ratu	luck			
suratu	good fortune			
suratu	good luck			
suratunac	fortunate			
duratu	misfortune			
duratu	bad luck			
duratunac	unfortunate			
ratul	lucky person			
ratumedi	possible		derivation / compound	< ratu + medi, “middle-luck”, < Ratumediae, DLG 2003, p. 255
ratumedias	possibility			
anratumedi	impossible			
anratumedias	impossibility			
ratumar	probable			
ratumaras	probability			
anratumar	improbable			
anratumaras	improbability			
esratu	extraordinary			
esratunas	extraordinariness			
re	preterising preverbal particle			e.g. re avo “did”
re	very	adverb		intensifying adverb; e.g. re mar “very big”
redi	to ride	verb		
rediat	rider			
redan	ride	noun		noun
regwi	to straighten	verb		
regu	straight			
regunas	straightness			
regwiat	straightener			
regwian	straightening	noun		noun
regut	forearm			
regen	parent			
regenait	parenthood			
reit	law			
reitwar	legitimate			
reitwaras	legitimacy			
rem	principal	noun		noun
remac	principal	adjective		adjective
remacas	principalness			
remait	principalship			
remu	prime			
gwercovret remu	prime minister			
ren	flow			
reni	to flow	verb		
renic	fluvial			
reniat	flow-er			entity that flows
renan	flowing	noun		noun
res	competition			
resa	to compete	verb		
resaiat	competitor			
resan	competing	noun		noun
resetan	compulsion			
reseti	to compel	verb		Mees 2011, p, 102
resetiat	compeller			
retan	run	noun		noun
reti	to run	verb		
retiat	runner			
ri	for			
agwid	although	preposition	derivation / compound	a + gwid-, “towards-understanding”, cf. Br. daoust, id., < da c’houzout “to/for knowing”, Kevin Rottet 2020, ‘4 Complex prepositions in Breton’, in Complex Adpositions in European Languages, eds Fagard et al.
argwait	in spite of		derivation / compound	ar + gwait, “in front of worse”, cf. W. er gwaetha, id.
argwait	despite			
dugwel	to refuse	verb	derivation / compound	du + gwel, “bad-want”
dugwelu	refusal			
dugweliat	refuser			
sugwel	to consent	verb	derivation / compound	su + gwel. “good-want”
sugwelu	consent	noun		noun
sugweliat	consenter			
rincid	needy			
rinci	to need	verb		
rincan	need	noun		noun
rinciat	needer			one who needs
rit	race			
riti	to race	verb		
ritiat	racer			
ritan	racing	noun		noun
Ritona	goddess of fords			goddess of people who cross fords
ritu	ford			
ritwi	to ford	verb		
ritwiat	forder			
ritwian	fording	noun		noun
riu	free			
riur	plenty			
Riur	month 3 of the Gaulish calendar			corresponding to July
riurwar	plentiful			
riurwaras	plentifulness			
ripet	because		derivation / compound	ri + pet, “for-thing”
ro	too			
rocan	together			DLG 2003, p. 104
rocanas	togetherness			
rocanu	gathering			
rocanwi	gather			
rocanwiat	gatherer			
candati	to assemble	verb	derivation / compound	can + da, “with-put”
candatan	assembly			
candatiat	assembler			
rodu	red			
rodar	meadowsweet			plant; Filipendula ulmaria
rodunas	redness			
rodi	to give	verb		
rodiat	giver			
rodan	gift			
roitan	privilege			DLG 2003, p. 263
roitanitu	priviliged			
roitani	to privilege	verb		
roitaniat	privileger			
roswer	to provide	verb		
rosweriat	provider			
rosweru	provision			
Roswerta	Great Provider			Gaulish goddess
rot	wheel			
rotgwead	spinning wheel		derivation / compound	rot + gwead, “wheel-spinning”
rotac	round			
rotacas	roundness			cf. E. rotund, id., < L. rotare < Gaul. rot-
rotaci	to round	verb		to make round
rotaciat	rounder			one who rounds
rotacan	rounding	noun		noun
roti	to wheel	verb		
rotiat	wheeler			
rotan	wheeling	noun		noun
ruc	shame			
ruci	to shame	verb		
ruciat	shamer			
rucan	shaming	noun		noun
duruc	disgrace			
duruci	to disgrace	verb		
duruciat	disgracer			
durucan	disgracing	noun		noun
durucid	disgraceful			
run	secret			
runac	secretive			
runu	mystery			
rununac	mysterious			
runwi	mystify			
runwiat	mystifier			
runwian	mystification			
rusc	bark			
ruscid	rough			
ruscidas	roughness			
ruscat	hive			
sta	to stand	verb		< stalo-, stamulo, DLG 2003, p. 232, 282
staiat	stander			
stat	stance			cf. static < L. statica, Gr. statikos, Gr. statos, id.
statol	stand	noun		noun
stantu	standing	noun		noun
stalu	shed			place where things stand; DLG 2003, p. 232
naustalu	boatshed		derivation / compound	naus + stalu, “boat-shed”
longstalu	shipyard		derivation / compound	long + stalu, “ship-shed/standing place”
gwerstalu	warehouse		derivation / compound	gwer + stalu, “more/big-standing place”
stamul	upright			
stamulas	uprightness			
stam	to get up	verb		DLG 2003, p. 282; cf. W. sefyll, Br. sevel, sav, id.
stam	to rise up	verb		
stamiat	riser			
stamu	rise	noun		noun
stamuswel	sunrise		derivation / compound	stamu + swel, “rise-sun”, cf. Br. sav-heol, id.
usanswel	sunrise		derivation / compound	usan + swel, “going high-sun”
gwerstamswel	solstice		derivation / compound	gwerstam + swel, “super-rising-sun”, cf. Br. goursav-heol, id; gour = gwer, sav = stam, heol = swel
gwerstam	to super-rise	verb	derivation / compound	gwer + stam, “super-rise”, cf. Br. goursav, id.
stantuswel	solstice		derivation / compound	stantu + swel, “standing-sun”
stantuswel sam	summer solstice			
stantuswel giam	winter solstice			
stantuswel medibleden	mid-year solstice			
arstam	to stop	verb	derivation / compound	ar + stam, “before-rise”, cf. Br. arsav, id.
arstamiat	stopper			
arstamu	stop	noun		noun
arstaman	stopping	noun		noun
gwersentu	highway		derivation / compound	gwer + sentu, “super-track”, cf. Br. gourhent, id.
gwer-	super	affix		“extra special/more”, cf. gwertamic < uertamico “super quality”; Gaul. uero-, L. supero- < IE upero-
gwerterg	supermarket		derivation / compound	gwer + terg, “super-market”, cf. Br. gourmarc’had, id.
sacru	evil	adjective		adjective; cf. W. Br. hagr, id.
sacrop	evil eye			
sacras	evil	noun		noun
sacrait	evilness			
sacra	to damn	verb		
sacratu	damned	adjective		adjective
sacraiat	damner			
sacran	damnation			
sagir	tenacious			< Sagirus, DLG 203, 265
sagiras	tenacity			
sagiri	to latch on	verb		
sagiran	latch			
sagiriat	latcher			
ereni	to try	verb		< eren “behind, after, west”; cf. Ir. iarr “to try” < iarr “behind, after, west”, < PrC. *eɸirom
ereniat	trier			
erenan	try	noun		noun
osa	to attempt	verb		os “after, last”; cf. Ir. iarr “to try” < iarr “after”
osaiat	attempter			
osan	attempt	noun		noun
sai	to seek	verb		
sai	to search	verb		
sai	to look for	verb		
saiat	searcher			
saiat	seeker			
saitol	search			
atesai	to research	verb	derivation / compound	ate + sai, “again-search”, cf. E./Fr. research/recherche
atesaiat	researcher			
atesaitol	research	noun		noun
sagon	woolen cloak			
sagon	mantle			
sagon	coat			
andesaitol	sollicitation			
andesai	to sollicit	verb	derivation / compound	ande + sai, “very-search”
andesaiat	sollicitor			
salic	willow			
salican	flexion			
salici	to flex	verb		
saliciat	flexer			
salicu	flexible			
salicin	willowy			
salicunas	flexibility			
salicinas	willowiness			
-in	adjectival suffix for animals and plants	affix		cf. bledin “wolvish”
-ac	adjectival suffix for general concepts	affix		-nac after vowel
-as	substantivising suffix for nouns derived from adjectives	affix		-nas after vowel
sam	summer			
samac	summery			
samal	same			Stifter 2012, pers.com.
samalcin	all the same		derivation / compound	samal + cin “same-before”, cf. Br. evelkent, id.
samalcin	nevertheless			
samalcin	however			
samalas	sameness			
samar	fallow			
samaran	waste	noun		noun
samaras	fallowness			
samari	to waste	verb		
samariat	waster			
samon	summertime			
Samon	month 1 of the Gaulish calendar			corresponds to May
samol	plant that heals eye ailments			unidentified
samu	tranquil			
samunas	tranquility			
saman	meeting			
sami	to meet	verb		
samiat	meeter			
cosami	to convene	verb	derivation / compound	co + sami, “with-meet”
cosamiat	convenor			
cosaman	convention			
cosamanac	conventional			
cosamanacas	conventionality			
sap	resin			
sap	sap			resin from tree
sapac	resinous			
sapu	pine tree			
sapanu	scarlet pimpernel			Lysimachia arvensis, a plant
sapan	soap			
sapanac	soapy			
sapani	to soap	verb		
sapaniat	soaper			
sapanan	soaping	noun		noun
sapwid	pine forest			
sat	enough			
satac	sufficient			
satas	sufficiency			
satan	satisfaction			
satiat	satisfier			
sati	to satisfy	verb		
scat	shadow			W. (c)ysgod, Br. skeud, C. skod, skeus, Ir. scáth, id. < *skatos
scati	to shadow	verb		
scatiat	shadower			
scatan	shadowing	noun		noun
scoci	to activate	verb		W. ysgogi “to activate”, Br. skog “impact”, OIr scuichid “to stir”
scociat	activator			
scocan	activation			
scocas	activeness			
scocu	activity			
scocait	activism			
scocaun	activist			
uscoci	to shake	verb	derivation / compound	us + scoci, “high-activate”
uscociat	shaker			
uscocan	shake	noun		noun
uscocan blegu	milk shake			
amscoci	to stir	verb	derivation / compound	am + scoci, “around-activate”
amscociat	stirrer			
amscocan	stir	noun		noun
delgarpen	university		derivation / compound	delgar + pen, “school-head”
delgarardu	high school		derivation / compound	delgar + ardu, “school-high”
delgaremu	primary school		derivation / compound	delgar + remu, “school-prime”
glau	rain			< OFr. jalon ‘liquid measure’, diminutive of jale 'porringer', < Late L. galla ‘vessel, container’, < late Gaul. *glāvo 'rain', < earlier *glōvo; https://en.wikipedia.org/wiki/List_of_French_words_of_Gaulish_origin 
glauni	to rain	verb		
glaunan	raining	noun		noun
glaunac	rainy			
glauniat	rain-maker			
esglenu	choiceless		derivation / compound	es + glenu, “without-choice”; cf. Ir. aisc “to choose” < OIr. asa-gusi < PrC. *ess-guseti-
en esglenu	in vain			in choiceless-ness
suvlasa	to savour	verb	derivation / compound	su + blasa, “good-taste”
suvlasan	savouring			
suvlasaiat	savourer			
suvlasac	savoury			
tec	beautiful			
teci	to beautify	verb		
tecan	beautification			
teciat	beautician			
tecu	decorum			
tecu	adornment			
scot	scraper			wood work
scot	raider			figurative
scotan	scrape	noun		noun
scotan	raid			figurative
scoti	to scrape	verb		
scoti	to raid	verb		figurative
scris	to spit	verb		
scrisan	spit	noun		noun
scrisiat	spitter			
scuvul	hawk			
scuvulal	kite			type of small hawk with a forked tail
scuvul duv	black hawk			
scuvul ten	firehawk			picks up burning coals and drops them in unburned areas to start a fire to flush out prey animals
scuvulen	glider			
scuvuleni	to glide	verb		
scuvulenan	gliding	noun		noun
se	that			
sedi	to sit	verb		
sediat	sitter			
sediat gnatal	baby sitter			
sedan gnatal	baby sitting			
gnatal	baby			
sedol	seat			< sedlo, DLG 2003, p. 269
ses	couch			sessa, DLG 2003, p. 269
sedan	sitting	noun		noun
segu	victory			
segumar	victorious			
seit	seven			
seitnoit	week			
seitwet	seventh			
selge	to hunt	verb		
selgen	hunt			n
selget	hunter			
selu	property			
selumaras	wealth			
selumar	wealthy			
selwan	herd			
selwani	to herd	verb		
selwaniat	herder			
selwanu	herding	noun		noun
selwi	to own	verb		
selwian	ownership			
selwiat	owner			
selwiat	proprietor			
sen	old			
seni	to accomplish	verb		
seniat	accomplisher			
senan	accomplishment			
senantu	accomplished	adjective		adjective on -tu, “accomplishment-ed”, cf. Nantusuelta “sunned-valley”
senas	oldness			old age
senater	ancestor		derivation / compound	sen + ater, “old-father”
senaterait	ancestry			abstract concept
senaterloi	ancestry			the people
sentan	travel	noun		noun
senti	to travel	verb		
sentiat	traveller			
sentic	companion			
senticu	company			entity, e.g. business
senticloi	company			of people
senticait	companionship			
sentici	to accompany	verb		
sentican	accompaniment			
senticiat	accompanier			
sentu	path			
sepa	to follow	verb		
